STR_STATION_ID,tag
20150709-1514-ablascovich,Impaired
20150818-0959-jeremmille,Impaired
20150901-1557-ablascovic,Impaired
20150902-0836-ablascovic,Impaired
20150902-0844-ablascovic,Impaired
20150902-1310-ablascovic,Impaired
20150902-1330-ablascovic,Impaired
20150902-1351-ablascovic,Impaired
20150902-1502-ablascovic,Impaired
20150902-1507-jeremmille,Impaired
20150902-1516-jeremmille,Impaired
20150902-1522-jeremmille,Impaired
20150902-1526-jeremmille,Impaired
20150902-1552-jeremmille,Impaired
20150902-1558-jeremmille,Impaired
20150902-1602-jeremmille,Impaired
20150902-1607-jeremmille,Impaired
20150902-1608-ablascovic,Impaired
20150902-1611-jeremmille,Impaired
20150902-1621-jeremmille,Impaired
20150908-0913-ablascovic,Impaired
20150908-1147-ablascovic,Impaired
20150908-1358-ablascovic,Impaired
20150908-1444-ablascovic,Impaired
20151030-1435-efilip,Impaired
20151030-1449-efilip,Impaired
20151030-1544-efilip,Impaired
20151030-1651-efilip,Impaired
20151030-1700-efilip,Impaired
20151030-1712-efilip,Impaired
20151030-1727-efilip,Impaired
20151208-1141-efilip,Impaired
20151210-1504-ablascovic,Impaired
20151210-1510-ablascovic,Impaired
20151211-1113-mbrickner,Impaired
20151211-1123-mbrickner,Impaired
20151211-1130-mbrickner,Impaired
20151211-1147-mbrickner,Impaired
20151211-1237-mbrickner,Impaired
20151214-0913-mbrickner,Impaired
20151214-0936-mbrickner,Impaired
20151214-0950-mbrickner,Impaired
20151214-1010-mbrickner,Impaired
20170111-1430-kbardell,Impaired
20170523-0924-jeremmille,Impaired
20170705-0811-jeremmille,Impaired
20170705-0844-jeremmille,Impaired
20170705-0919-jeremmille,Impaired
20170705-0954-jeremmille,Impaired
20170705-1110-jeremmille,Impaired
20170710-1341-jeremmille,Impaired
20170710-1505-jeremmille,Impaired
20170712-1426-jeremmille,Impaired
20170713-1034-jeremmille,Impaired
20170713-1035-jeremmille,Impaired
20170728-1430-jeremmille,Impaired
20170801-1555-jeremmille,Impaired
20170802-1506-jeremmille,Impaired
20170802-1527-jeremmille,Impaired
20170803-0747-jeremmille,Impaired
20170930-0920-dushull,Impaired
20190516-1230-jeremmille,Impaired
20190528-1019-jeremmille,Impaired
20190529-0911-jeremmille,Impaired
20190529-1221-jeremmille,Impaired
20150818-0849-jeremmille,Supporting
20150818-0902-jeremmille,Supporting
20150818-0919-jeremmille,Supporting
20150818-0926-jeremmille,Supporting
20150818-0934-jeremmille,Supporting
20150818-0945-jeremmille,Supporting
20150818-1027-jeremmille,Supporting
20150818-1147-jeremmille,Supporting
20150818-1157-jeremmille,Supporting
20150818-1203-jeremmille,Supporting
20150818-1251-jeremmille,Supporting
20150902-0856-ablascovic,Supporting
20150902-1540-jeremmille,Supporting
20150902-1548-ablascovic,Supporting
20150902-1601-ablascovic,Supporting
20150908-0938-ablascovic,Supporting
20150930-1024-sunger,Supporting
20150930-1032-sunger,Supporting
20151214-0956-mbrickner,Supporting
20170111-1416-kbardell,Supporting
20170517-1500-jeremmille,Supporting
20170519-0822-jeremmille,Supporting
20170519-1011-jeremmille,Supporting
20170519-1124-jeremmille,Supporting
20170522-0835-jeremmille,Supporting
20170522-1124-jeremmille,Supporting
20170710-1103-jeremmille,Supporting
20170712-1342-jeremmille,Supporting
20170714-0827-jeremmille,Supporting
20170718-1518-jeremmille,Supporting
20170724-1443-jeremmille,Supporting
20170725-1423-jeremmille,Supporting
20170728-1514-jeremmille,Supporting
20170803-1354-jeremmille,Supporting
20191007-0952-kbardell,Supporting
